artist_id,artist_name,genres,popularity,followers,track_track_id,track_track_name,track_popularity,track_duration_ms,track_explicit,track_release_date,track_album_name,track_spotify_url,num_genres
4FJhE5ToBQGzOGf0D5Xd1C,Abhijeet Srivastava,"['indian indie', 'hindi indie', 'desi pop', 'hindi pop', 'bollywood']",57,173240,18qN1yxa4SVwmykQq1Icrl,Khayaal,51,162206,FALSE,03-07-2020,Khayaal,https://open.spotify.com/track/18qN1yxa4SVwmykQq1Icrl,5
6Tt4bucXZfk6Vasj3fSaCT,Prateeksha Srivastava,"['indian indie', 'hindi indie', 'desi pop', 'hindi pop', 'bollywood']",47,18970,18qN1yxa4SVwmykQq1Icrl,Khayaal,51,162206,FALSE,03-07-2020,Khayaal,https://open.spotify.com/track/18qN1yxa4SVwmykQq1Icrl,4
2AsCNMhgUuqhs3Sx9Ko5Vq,Jinco,"['future bass', 'edm trap']",34,32798,4IRlI7QAFPwhI69NuPWw7E,Love is a Miracle,40,193714,FALSE,06-02-2019,Love is a Miracle,https://open.spotify.com/track/4IRlI7QAFPwhI69NuPWw7E,2
4lfzmHxJUmbTMeg2OlnBNN,SVNAH,"['future bass', 'edm trap']",22,1396,4IRlI7QAFPwhI69NuPWw7E,Love is a Miracle,40,193714,FALSE,06-02-2019,Love is a Miracle,https://open.spotify.com/track/4IRlI7QAFPwhI69NuPWw7E,0
692KvxElsJHIJQCS6Eoc32,Sarah Schachner,['soundtrack'],50,50206,59FMS2jznmqwLYx1Noa6H4,Assassin's Creed Valhalla Main Theme (feat. Einar Selvik),50,195173,FALSE,29-01-2021,Assassin's Creed Valhalla: Twilight of the Gods (Original Soundtrack),https://open.spotify.com/track/59FMS2jznmqwLYx1Noa6H4,1
5ct8AlcDgWMp4O25vbcjpC,Assassin's Creed,['soundtrack'],64,85651,59FMS2jznmqwLYx1Noa6H4,Assassin's Creed Valhalla Main Theme (feat. Einar Selvik),50,195173,FALSE,29-01-2021,Assassin's Creed Valhalla: Twilight of the Gods (Original Soundtrack),https://open.spotify.com/track/59FMS2jznmqwLYx1Noa6H4,2
3m6alJyeKYSCZ8078ttfaH,Jesper Kyd,['soundtrack'],58,126496,59FMS2jznmqwLYx1Noa6H4,Assassin's Creed Valhalla Main Theme (feat. Einar Selvik),50,195173,FALSE,29-01-2021,Assassin's Creed Valhalla: Twilight of the Gods (Original Soundtrack),https://open.spotify.com/track/59FMS2jznmqwLYx1Noa6H4,1
4QwiYnKp4dh2PTv1Vgw3c5,Einar Selvik,['soundtrack'],46,97076,59FMS2jznmqwLYx1Noa6H4,Assassin's Creed Valhalla Main Theme (feat. Einar Selvik),50,195173,FALSE,29-01-2021,Assassin's Creed Valhalla: Twilight of the Gods (Original Soundtrack),https://open.spotify.com/track/59FMS2jznmqwLYx1Noa6H4,1
4UubVINfHiZxIV8k2PechF,mohit,"['desi hip hop', 'indian indie', 'hindi indie', 'hindi hip hop']",20,9106,5B1DhKf6odVt63qHlkfOBR,Sath Nahi,24,175135,FALSE,30-01-2021,Sath Nahi,https://open.spotify.com/track/5B1DhKf6odVt63qHlkfOBR,4
7FvX2e6CgYllzgZ9uempWF,Karun,"['desi hip hop', 'indian indie', 'hindi indie', 'hindi hip hop']",49,113007,5B1DhKf6odVt63qHlkfOBR,Sath Nahi,24,175135,FALSE,30-01-2021,Sath Nahi,https://open.spotify.com/track/5B1DhKf6odVt63qHlkfOBR,4
