artist_id,artist_name,genres,popularity,followers,track_track_id,track_track_name,track_popularity,track_duration_ms,track_explicit,track_release_date,track_album_name,track_spotify_url
31TPClRtHm23RisEBtV3X7,Justin Timberlake,[],83,15395070,13HiWKJ4hcGhzPsyuhNWgq,Electric Lady,36,260426,False,2013-09-27,The 20/20 Experience - 2 of 2 (Deluxe),https://open.spotify.com/track/13HiWKJ4hcGhzPsyuhNWgq
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,[],91,22832745,1byScELwcJffsdL5QWa6Yk,Why,63,171096,False,2017-07-07,Why,https://open.spotify.com/track/1byScELwcJffsdL5QWa6Yk
4M0vvoQACWxLNrLVrx3MWX,Saint Lane,[],29,4475,2wWTQ2gYlK1Tc5SIG6FFvp,staring at the sun,22,151724,True,2022-09-02,i thought my name was cursed,https://open.spotify.com/track/2wWTQ2gYlK1Tc5SIG6FFvp
3ua4MYAHmkOM1hL7o0FqIw,Sirena,[],44,4862,6vPJvkEuWZPcv58NnQ3dBR,Sweet Escape,57,232533,False,2015-05-22,Forever,https://open.spotify.com/track/6vPJvkEuWZPcv58NnQ3dBR
31TPClRtHm23RisEBtV3X7,Justin Timberlake,[],83,15395070,7Lf7oSEVdzZqTA0kEDSlS5,Cry Me a River,80,288333,False,2002-11-04,Justified,https://open.spotify.com/track/7Lf7oSEVdzZqTA0kEDSlS5
1nf5yEVCfMbqm1OCYpntBT,Prince Fox,[],33,59552,7nam2zoOW27TPhESCaCbqH,Five Months Later,27,181714,False,2019-05-31,"ALL THIS MUSIC, Vol. 1",https://open.spotify.com/track/7nam2zoOW27TPhESCaCbqH
4GvEc3ANtPPjt1ZJllr5Zl,Bazzi,[],70,5492868,5pzeevBDvU6GVXqUKoiYDX,I Don’t Even Know You Anymore (feat. Bazzi & Lil Wayne),45,167600,True,2019-02-14,I Don’t Even Know You Anymore,https://open.spotify.com/track/5pzeevBDvU6GVXqUKoiYDX
6GMYJwaziB4ekv1Y6wCDWS,Soulja Boy,[],71,2306112,0kswxxNV4DLBqJeMIqFh5n,She Make It Clap,57,111549,True,2021-04-15,She Make It Clap,https://open.spotify.com/track/0kswxxNV4DLBqJeMIqFh5n
2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,[],82,7806588,2gHQ7upBrDEFOZZTO6ktbZ,Pluto’s Last Comet,61,211323,False,2021-12-10,Alone At Prom,https://open.spotify.com/track/2gHQ7upBrDEFOZZTO6ktbZ
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,[],96,105641915,2SLwbpExuoBDZBpjfefCtV,Out of Time,78,214193,False,2022-01-06,Dawn FM,https://open.spotify.com/track/2SLwbpExuoBDZBpjfefCtV
6MDME20pz9RveH9rEXvrOM,Clean Bandit,[],77,5844443,3NuK5xMlSlB6K2Qp16zf3h,Solo (feat. Demi Lovato),74,222706,False,2018-11-30,What Is Love? (Deluxe Edition),https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h
6S2OmqARrzebs0tKUEyXyp,Demi Lovato,[],78,27169889,3NuK5xMlSlB6K2Qp16zf3h,Solo (feat. Demi Lovato),74,222706,False,2018-11-30,What Is Love? (Deluxe Edition),https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h
3DbwFQlvLxRSi2uX8mf81A,Sexyy Red,[],79,2102918,5M2lX0ZAYSAzCs1xPPi9BX,Fat Juicy & Wet,78,141057,True,2025-01-24,Fat Juicy & Wet,https://open.spotify.com/track/5M2lX0ZAYSAzCs1xPPi9BX
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,[],93,72108693,5M2lX0ZAYSAzCs1xPPi9BX,Fat Juicy & Wet,78,141057,True,2025-01-24,Fat Juicy & Wet,https://open.spotify.com/track/5M2lX0ZAYSAzCs1xPPi9BX
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,[],84,44996732,7JJmb5XwzOO8jgpou264Ml,There's Nothing Holdin' Me Back,88,199440,False,2017-04-20,Illuminate (Deluxe),https://open.spotify.com/track/7JJmb5XwzOO8jgpou264Ml
246dkjvS1zLTtiykXe5h60,Post Malone,[],90,47039790,1nltpRhEiXikwDlVn4UADk,One Right Now (with The Weeknd),72,192721,True,2022-06-03,Twelve Carat Toothache,https://open.spotify.com/track/1nltpRhEiXikwDlVn4UADk
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,[],96,105641915,1nltpRhEiXikwDlVn4UADk,One Right Now (with The Weeknd),72,192721,True,2022-06-03,Twelve Carat Toothache,https://open.spotify.com/track/1nltpRhEiXikwDlVn4UADk
0lAWpj5szCSwM4rUMHYmrr,Måneskin,[],80,10357428,4pt5fDVTg5GhEvEtlz9dKk,I WANNA BE YOUR SLAVE,84,173346,True,2021-03-19,Teatro d'ira - Vol. I,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
